province,employment_type,year,employment_unemployment_employment_rate
Newfoundland and Labrador,"Unemployment  (x 1,000)32",2003,41.4
Newfoundland and Labrador,"Unemployment  (x 1,000)33",2004,39.2
Newfoundland and Labrador,"Unemployment  (x 1,000)34",2005,37.8
Newfoundland and Labrador,"Unemployment  (x 1,000)35",2006,36.9
Newfoundland and Labrador,"Unemployment  (x 1,000)36",2007,33.7
Newfoundland and Labrador,"Unemployment  (x 1,000)37",2008,33.5
Newfoundland and Labrador,"Unemployment  (x 1,000)38",2009,39
Newfoundland and Labrador,"Unemployment  (x 1,000)39",2010,37.7
Newfoundland and Labrador,"Unemployment  (x 1,000)40",2011,32.7
Newfoundland and Labrador,"Unemployment  (x 1,000)41",2012,32.8
Newfoundland and Labrador,"Unemployment  (x 1,000)42",2013,30.7
Newfoundland and Labrador,"Unemployment  (x 1,000)43",2014,31.1
Newfoundland and Labrador,"Unemployment  (x 1,000)44",2015,33.3
Newfoundland and Labrador,"Unemployment  (x 1,000)45",2016,34.5
Newfoundland and Labrador,"Unemployment  (x 1,000)46",2017,37.5
Newfoundland and Labrador,"Unemployment  (x 1,000)47",2018,34.2
Newfoundland and Labrador,Unemployment rate 6,1976,13.5
Newfoundland and Labrador,Unemployment rate 7,1977,15.6
Newfoundland and Labrador,Unemployment rate 8,1978,16
Newfoundland and Labrador,Unemployment rate 9,1979,14.9
Newfoundland and Labrador,Unemployment rate 10,1980,13.3
Newfoundland and Labrador,Unemployment rate 11,1981,13.5
Newfoundland and Labrador,Unemployment rate 12,1982,16.3
Newfoundland and Labrador,Unemployment rate 13,1983,18.2
Newfoundland and Labrador,Unemployment rate 14,1984,20.3
Newfoundland and Labrador,Unemployment rate 15,1985,20.3
Newfoundland and Labrador,Unemployment rate 16,1986,18.9
Newfoundland and Labrador,Unemployment rate 17,1987,17.9
Newfoundland and Labrador,Unemployment rate 18,1988,16.2
Newfoundland and Labrador,Unemployment rate 19,1989,15.5
Newfoundland and Labrador,Unemployment rate 20,1990,17.1
Newfoundland and Labrador,Unemployment rate 21,1991,18.1
Newfoundland and Labrador,Unemployment rate 22,1992,20.1
Newfoundland and Labrador,Unemployment rate 23,1993,20.2
Newfoundland and Labrador,Unemployment rate 24,1994,20
Newfoundland and Labrador,Unemployment rate 25,1995,18.1
Newfoundland and Labrador,Unemployment rate 26,1996,19
Newfoundland and Labrador,Unemployment rate 27,1997,18.2
Newfoundland and Labrador,Unemployment rate 28,1998,17.8
Newfoundland and Labrador,Unemployment rate 29,1999,16.8
Newfoundland and Labrador,Unemployment rate 30,2000,16.7
Newfoundland and Labrador,Unemployment rate 31,2001,16
Newfoundland and Labrador,Unemployment rate 32,2002,16.8
Newfoundland and Labrador,Unemployment rate 33,2003,16.5
Newfoundland and Labrador,Unemployment rate 34,2004,15.7
Newfoundland and Labrador,Unemployment rate 35,2005,15.2
Newfoundland and Labrador,Unemployment rate 36,2006,14.8
Newfoundland and Labrador,Unemployment rate 37,2007,13.6
Newfoundland and Labrador,Unemployment rate 38,2008,13.4
Newfoundland and Labrador,Unemployment rate 39,2009,15.5
Newfoundland and Labrador,Unemployment rate 40,2010,14.7
Newfoundland and Labrador,Unemployment rate 41,2011,12.6
Newfoundland and Labrador,Unemployment rate 42,2012,12.3
Newfoundland and Labrador,Unemployment rate 43,2013,11.5
Newfoundland and Labrador,Unemployment rate 44,2014,11.9
Newfoundland and Labrador,Unemployment rate 45,2015,12.7
Newfoundland and Labrador,Unemployment rate 46,2016,13.3
Newfoundland and Labrador,Unemployment rate 47,2017,14.7
Newfoundland and Labrador,Unemployment rate 48,2018,13.7
Prince Edward Island,"Employment  (x 1,000)4",1976,41.7
Prince Edward Island,"Employment  (x 1,000)5",1977,42.4
Prince Edward Island,"Employment  (x 1,000)6",1978,43.7
Prince Edward Island,"Employment  (x 1,000)7",1979,45.2
Prince Edward Island,"Employment  (x 1,000)8",1980,46.5
Prince Edward Island,"Employment  (x 1,000)9",1981,45.9
Prince Edward Island,"Employment  (x 1,000)10",1982,45.1
Prince Edward Island,"Employment  (x 1,000)11",1983,47.5
Prince Edward Island,"Employment  (x 1,000)12",1984,48.3
Prince Edward Island,"Employment  (x 1,000)13",1985,49.5
Prince Edward Island,"Employment  (x 1,000)14",1986,51
Prince Edward Island,"Employment  (x 1,000)15",1987,52.2
Prince Edward Island,"Employment  (x 1,000)16",1988,53.4
Prince Edward Island,"Employment  (x 1,000)17",1989,53.8
Prince Edward Island,"Employment  (x 1,000)18",1990,54
Prince Edward Island,"Employment  (x 1,000)19",1991,52.5
Prince Edward Island,"Employment  (x 1,000)20",1992,52.7
Prince Edward Island,"Employment  (x 1,000)21",1993,53.6
Prince Edward Island,"Employment  (x 1,000)22",1994,54.9
Prince Edward Island,"Employment  (x 1,000)23",1995,56.3
Prince Edward Island,"Employment  (x 1,000)24",1996,57.9
Prince Edward Island,"Employment  (x 1,000)25",1997,57.7
Prince Edward Island,"Employment  (x 1,000)26",1998,58.7
Prince Edward Island,"Employment  (x 1,000)27",1999,59.3
Prince Edward Island,"Employment  (x 1,000)28",2000,61.9
Prince Edward Island,"Employment  (x 1,000)29",2001,62.6
Prince Edward Island,"Employment  (x 1,000)30",2002,63.5
Prince Edward Island,"Employment  (x 1,000)31",2003,65.1
Prince Edward Island,"Employment  (x 1,000)32",2004,65.4
Prince Edward Island,"Employment  (x 1,000)33",2005,66
Prince Edward Island,"Employment  (x 1,000)34",2006,66.3
Prince Edward Island,"Employment  (x 1,000)35",2007,66.6
Prince Edward Island,"Employment  (x 1,000)36",2008,67.2
Prince Edward Island,"Employment  (x 1,000)37",2009,66.1
Prince Edward Island,"Employment  (x 1,000)38",2010,67.2
Prince Edward Island,"Employment  (x 1,000)39",2011,69.1
Prince Edward Island,"Employment  (x 1,000)40",2012,70.2
Prince Edward Island,"Employment  (x 1,000)41",2013,70.3
Prince Edward Island,"Employment  (x 1,000)42",2014,70.4
Prince Edward Island,"Employment  (x 1,000)43",2015,69.1
Prince Edward Island,"Employment  (x 1,000)44",2016,67.5
Prince Edward Island,"Employment  (x 1,000)45",2017,69.1
Prince Edward Island,"Employment  (x 1,000)46",2018,71.1
Prince Edward Island,"Unemployment  (x 1,000)5",1976,4.3
Prince Edward Island,"Unemployment  (x 1,000)6",1977,4.6
Prince Edward Island,"Unemployment  (x 1,000)7",1978,4.8
Prince Edward Island,"Unemployment  (x 1,000)8",1979,6.1
Prince Edward Island,"Unemployment  (x 1,000)9",1980,5.6
Prince Edward Island,"Unemployment  (x 1,000)10",1981,6
Prince Edward Island,"Unemployment  (x 1,000)11",1982,6.7
Prince Edward Island,"Unemployment  (x 1,000)12",1983,6.8
Prince Edward Island,"Unemployment  (x 1,000)13",1984,7.1
Prince Edward Island,"Unemployment  (x 1,000)14",1985,7.9
Prince Edward Island,"Unemployment  (x 1,000)15",1986,7.8
Prince Edward Island,"Unemployment  (x 1,000)16",1987,7.5
Prince Edward Island,"Unemployment  (x 1,000)17",1988,7.6
Prince Edward Island,"Unemployment  (x 1,000)18",1989,8.7
Prince Edward Island,"Unemployment  (x 1,000)19",1990,9.3
Prince Edward Island,"Unemployment  (x 1,000)20",1991,10.6
Prince Edward Island,"Unemployment  (x 1,000)21",1992,11.5
Prince Edward Island,"Unemployment  (x 1,000)22",1993,11.1
Prince Edward Island,"Unemployment  (x 1,000)23",1994,11
Prince Edward Island,"Unemployment  (x 1,000)24",1995,9.9
Prince Edward Island,"Unemployment  (x 1,000)25",1996,10.1
Prince Edward Island,"Unemployment  (x 1,000)26",1997,10.6
Prince Edward Island,"Unemployment  (x 1,000)27",1998,9.6
Prince Edward Island,"Unemployment  (x 1,000)28",1999,10
Prince Edward Island,"Unemployment  (x 1,000)29",2000,8.6
Prince Edward Island,"Unemployment  (x 1,000)30",2001,8.5
Prince Edward Island,"Unemployment  (x 1,000)31",2002,8.7
Prince Edward Island,"Unemployment  (x 1,000)32",2003,8
Prince Edward Island,"Unemployment  (x 1,000)33",2004,8.4
Prince Edward Island,"Unemployment  (x 1,000)34",2005,8.2
Prince Edward Island,"Unemployment  (x 1,000)35",2006,8.3
Prince Edward Island,"Unemployment  (x 1,000)36",2007,7.6
Prince Edward Island,"Unemployment  (x 1,000)37",2008,8.1
Prince Edward Island,"Unemployment  (x 1,000)38",2009,9
Prince Edward Island,"Unemployment  (x 1,000)39",2010,8.7
Prince Edward Island,"Unemployment  (x 1,000)40",2011,8.6
Prince Edward Island,"Unemployment  (x 1,000)41",2012,8.8
Prince Edward Island,"Unemployment  (x 1,000)42",2013,9
Prince Edward Island,"Unemployment  (x 1,000)43",2014,8.3
Prince Edward Island,"Unemployment  (x 1,000)44",2015,8
Prince Edward Island,"Unemployment  (x 1,000)45",2016,8.1
Prince Edward Island,"Unemployment  (x 1,000)46",2017,7.4
Prince Edward Island,"Unemployment  (x 1,000)47",2018,7.4
Prince Edward Island,Unemployment rate 6,1976,9.3
Prince Edward Island,Unemployment rate 7,1977,9.8
Prince Edward Island,Unemployment rate 8,1978,9.9
Prince Edward Island,Unemployment rate 9,1979,11.9
Prince Edward Island,Unemployment rate 10,1980,10.7
Prince Edward Island,Unemployment rate 11,1981,11.6
Prince Edward Island,Unemployment rate 12,1982,12.9
Prince Edward Island,Unemployment rate 13,1983,12.5
Prince Edward Island,Unemployment rate 14,1984,12.8
Prince Edward Island,Unemployment rate 15,1985,13.8
Prince Edward Island,Unemployment rate 16,1986,13.3
Prince Edward Island,Unemployment rate 17,1987,12.6
Prince Edward Island,Unemployment rate 18,1988,12.5
Prince Edward Island,Unemployment rate 19,1989,13.9
Prince Edward Island,Unemployment rate 20,1990,14.7
Prince Edward Island,Unemployment rate 21,1991,16.8
Prince Edward Island,Unemployment rate 22,1992,17.9
Prince Edward Island,Unemployment rate 23,1993,17.2
Prince Edward Island,Unemployment rate 24,1994,16.7
Prince Edward Island,Unemployment rate 25,1995,15
Prince Edward Island,Unemployment rate 26,1996,14.9
Prince Edward Island,Unemployment rate 27,1997,15.5
Prince Edward Island,Unemployment rate 28,1998,14.1
Prince Edward Island,Unemployment rate 29,1999,14.4
Prince Edward Island,Unemployment rate 30,2000,12.2
Prince Edward Island,Unemployment rate 31,2001,12
Prince Edward Island,Unemployment rate 32,2002,12
Prince Edward Island,Unemployment rate 33,2003,10.9
Prince Edward Island,Unemployment rate 34,2004,11.4
Prince Edward Island,Unemployment rate 35,2005,11.1
Prince Edward Island,Unemployment rate 36,2006,11.1
Prince Edward Island,Unemployment rate 37,2007,10.2
Prince Edward Island,Unemployment rate 38,2008,10.8
Prince Edward Island,Unemployment rate 39,2009,12
Prince Edward Island,Unemployment rate 40,2010,11.5
Prince Edward Island,Unemployment rate 41,2011,11.1
Prince Edward Island,Unemployment rate 42,2012,11.1
Prince Edward Island,Unemployment rate 43,2013,11.3
Prince Edward Island,Unemployment rate 44,2014,10.5
Prince Edward Island,Unemployment rate 45,2015,10.4
Prince Edward Island,Unemployment rate 46,2016,10.7
Prince Edward Island,Unemployment rate 47,2017,9.7
Prince Edward Island,Unemployment rate 48,2018,9.4
Nova Scotia,"Employment  (x 1,000)4",1976,292
Nova Scotia,"Employment  (x 1,000)5",1977,293.2
Nova Scotia,"Employment  (x 1,000)6",1978,300.2
Nova Scotia,"Employment  (x 1,000)7",1979,311.8
Nova Scotia,"Employment  (x 1,000)8",1980,319.5
Nova Scotia,"Employment  (x 1,000)9",1981,323.5
Nova Scotia,"Employment  (x 1,000)10",1982,316.5
Nova Scotia,"Employment  (x 1,000)11",1983,319.8
Nova Scotia,"Employment  (x 1,000)12",1984,334.9
Nova Scotia,"Employment  (x 1,000)13",1985,339
Nova Scotia,"Employment  (x 1,000)14",1986,346.4
Nova Scotia,"Employment  (x 1,000)15",1987,354.7
Nova Scotia,"Employment  (x 1,000)16",1988,369.5
Nova Scotia,"Employment  (x 1,000)17",1989,377.4
Nova Scotia,"Employment  (x 1,000)18",1990,380.9
Nova Scotia,"Employment  (x 1,000)19",1991,377.4
Nova Scotia,"Employment  (x 1,000)20",1992,365.2
Nova Scotia,"Employment  (x 1,000)21",1993,362.3
Nova Scotia,"Employment  (x 1,000)22",1994,368.1
Nova Scotia,"Employment  (x 1,000)23",1995,371.8
Nova Scotia,"Employment  (x 1,000)24",1996,372.4
Nova Scotia,"Employment  (x 1,000)25",1997,377.7
Nova Scotia,"Employment  (x 1,000)26",1998,391.8
Nova Scotia,"Employment  (x 1,000)27",1999,399.3
Nova Scotia,"Employment  (x 1,000)28",2000,406.8
Nova Scotia,"Employment  (x 1,000)29",2001,410.7
Nova Scotia,"Employment  (x 1,000)30",2002,416.8
Nova Scotia,"Employment  (x 1,000)31",2003,426
Nova Scotia,"Employment  (x 1,000)32",2004,436
Nova Scotia,"Employment  (x 1,000)33",2005,435.4
Nova Scotia,"Employment  (x 1,000)34",2006,434
Nova Scotia,"Employment  (x 1,000)35",2007,438.5
Nova Scotia,"Employment  (x 1,000)36",2008,441.2
Nova Scotia,"Employment  (x 1,000)37",2009,436.9
Nova Scotia,"Employment  (x 1,000)38",2010,438.2
Nova Scotia,"Employment  (x 1,000)39",2011,439.1
Nova Scotia,"Employment  (x 1,000)40",2012,439.5
Nova Scotia,"Employment  (x 1,000)41",2013,435.5
Nova Scotia,"Employment  (x 1,000)42",2014,430.3
Nova Scotia,"Employment  (x 1,000)43",2015,429.3
Nova Scotia,"Employment  (x 1,000)44",2016,425.4
Nova Scotia,"Employment  (x 1,000)45",2017,427.2
Nova Scotia,"Employment  (x 1,000)46",2018,434.2
Nova Scotia,"Unemployment  (x 1,000)5",1976,29.9
Nova Scotia,"Unemployment  (x 1,000)6",1977,34.3
Nova Scotia,"Unemployment  (x 1,000)7",1978,35.8
Nova Scotia,"Unemployment  (x 1,000)8",1979,35.1
Nova Scotia,"Unemployment  (x 1,000)9",1980,34.7
Nova Scotia,"Unemployment  (x 1,000)10",1981,36.3
Nova Scotia,"Unemployment  (x 1,000)11",1982,47.1
Nova Scotia,"Unemployment  (x 1,000)12",1983,50.4
Nova Scotia,"Unemployment  (x 1,000)13",1984,50.9
Nova Scotia,"Unemployment  (x 1,000)14",1985,53.1
Nova Scotia,"Unemployment  (x 1,000)15",1986,53.4
Nova Scotia,"Unemployment  (x 1,000)16",1987,49
Nova Scotia,"Unemployment  (x 1,000)17",1988,42.2
Nova Scotia,"Unemployment  (x 1,000)18",1989,41.7
Nova Scotia,"Unemployment  (x 1,000)19",1990,46
Nova Scotia,"Unemployment  (x 1,000)20",1991,52.1
Nova Scotia,"Unemployment  (x 1,000)21",1992,55.6
Nova Scotia,"Unemployment  (x 1,000)22",1993,61.1
Nova Scotia,"Unemployment  (x 1,000)23",1994,57.8
Nova Scotia,"Unemployment  (x 1,000)24",1995,51.8
Nova Scotia,"Unemployment  (x 1,000)25",1996,53
Nova Scotia,"Unemployment  (x 1,000)26",1997,52.5
Nova Scotia,"Unemployment  (x 1,000)27",1998,46.2
Nova Scotia,"Unemployment  (x 1,000)28",1999,42.7
Nova Scotia,"Unemployment  (x 1,000)29",2000,40.7
Nova Scotia,"Unemployment  (x 1,000)30",2001,44.6
Nova Scotia,"Unemployment  (x 1,000)31",2002,44.7
Nova Scotia,"Unemployment  (x 1,000)32",2003,43.1
Nova Scotia,"Unemployment  (x 1,000)33",2004,42.5
Nova Scotia,"Unemployment  (x 1,000)34",2005,39.9
Nova Scotia,"Unemployment  (x 1,000)35",2006,37.6
Nova Scotia,"Unemployment  (x 1,000)36",2007,38.4
Nova Scotia,"Unemployment  (x 1,000)37",2008,36.9
Nova Scotia,"Unemployment  (x 1,000)38",2009,45.3
Nova Scotia,"Unemployment  (x 1,000)39",2010,47.2
Nova Scotia,"Unemployment  (x 1,000)40",2011,44.2
Nova Scotia,"Unemployment  (x 1,000)41",2012,44.6
Nova Scotia,"Unemployment  (x 1,000)42",2013,43.8
Nova Scotia,"Unemployment  (x 1,000)43",2014,42.6
Nova Scotia,"Unemployment  (x 1,000)44",2015,40.8
Nova Scotia,"Unemployment  (x 1,000)45",2016,39.1
Nova Scotia,"Unemployment  (x 1,000)46",2017,39.6
Nova Scotia,"Unemployment  (x 1,000)47",2018,36
Nova Scotia,Unemployment rate 6,1976,9.3
Nova Scotia,Unemployment rate 7,1977,10.5
Nova Scotia,Unemployment rate 8,1978,10.7
Nova Scotia,Unemployment rate 9,1979,10.1
Nova Scotia,Unemployment rate 10,1980,9.8
Nova Scotia,Unemployment rate 11,1981,10.1
Nova Scotia,Unemployment rate 12,1982,13
Nova Scotia,Unemployment rate 13,1983,13.6
Nova Scotia,Unemployment rate 14,1984,13.2
Nova Scotia,Unemployment rate 15,1985,13.5
Nova Scotia,Unemployment rate 16,1986,13.4
Nova Scotia,Unemployment rate 17,1987,12.1
Nova Scotia,Unemployment rate 18,1988,10.3
Nova Scotia,Unemployment rate 19,1989,9.9
Nova Scotia,Unemployment rate 20,1990,10.8
Nova Scotia,Unemployment rate 21,1991,12.1
Nova Scotia,Unemployment rate 22,1992,13.2
Nova Scotia,Unemployment rate 23,1993,14.4
Nova Scotia,Unemployment rate 24,1994,13.6
Nova Scotia,Unemployment rate 25,1995,12.2
Nova Scotia,Unemployment rate 26,1996,12.5
Nova Scotia,Unemployment rate 27,1997,12.2
Nova Scotia,Unemployment rate 28,1998,10.5
Nova Scotia,Unemployment rate 29,1999,9.7
Nova Scotia,Unemployment rate 30,2000,9.1
Nova Scotia,Unemployment rate 31,2001,9.8
Nova Scotia,Unemployment rate 32,2002,9.7
Nova Scotia,Unemployment rate 33,2003,9.2
Nova Scotia,Unemployment rate 34,2004,8.9
Nova Scotia,Unemployment rate 35,2005,8.4
Nova Scotia,Unemployment rate 36,2006,8
Nova Scotia,Unemployment rate 37,2007,8.1
Nova Scotia,Unemployment rate 38,2008,7.7
Nova Scotia,Unemployment rate 39,2009,9.4
Nova Scotia,Unemployment rate 40,2010,9.7
Nova Scotia,Unemployment rate 41,2011,9.1
Nova Scotia,Unemployment rate 42,2012,9.2
Nova Scotia,Unemployment rate 43,2013,9.1
Nova Scotia,Unemployment rate 44,2014,9
Nova Scotia,Unemployment rate 45,2015,8.7
Nova Scotia,Unemployment rate 46,2016,8.4
Nova Scotia,Unemployment rate 47,2017,8.5
Nova Scotia,Unemployment rate 48,2018,7.7
New Brunswick,"Employment  (x 1,000)4",1976,228
New Brunswick,"Employment  (x 1,000)5",1977,224.6
New Brunswick,"Employment  (x 1,000)6",1978,235.6
New Brunswick,"Employment  (x 1,000)7",1979,246.3
New Brunswick,"Employment  (x 1,000)8",1980,250
New Brunswick,"Employment  (x 1,000)9",1981,253.7
New Brunswick,"Employment  (x 1,000)10",1982,244.8
New Brunswick,"Employment  (x 1,000)11",1983,247.3
New Brunswick,"Employment  (x 1,000)12",1984,251.6
New Brunswick,"Employment  (x 1,000)13",1985,258.3
New Brunswick,"Employment  (x 1,000)14",1986,267.5
New Brunswick,"Employment  (x 1,000)15",1987,277.7
New Brunswick,"Employment  (x 1,000)16",1988,288.4
New Brunswick,"Employment  (x 1,000)17",1989,294.6
New Brunswick,"Employment  (x 1,000)18",1990,297.9
New Brunswick,"Employment  (x 1,000)19",1991,292.4
New Brunswick,"Employment  (x 1,000)20",1992,293.8
New Brunswick,"Employment  (x 1,000)21",1993,296.9
New Brunswick,"Employment  (x 1,000)22",1994,295.6
New Brunswick,"Employment  (x 1,000)23",1995,304
New Brunswick,"Employment  (x 1,000)24",1996,303
New Brunswick,"Employment  (x 1,000)25",1997,307.3
New Brunswick,"Employment  (x 1,000)26",1998,313.1
New Brunswick,"Employment  (x 1,000)27",1999,322.7
New Brunswick,"Employment  (x 1,000)28",2000,328.4
New Brunswick,"Employment  (x 1,000)29",2001,326.9
New Brunswick,"Employment  (x 1,000)30",2002,338
New Brunswick,"Employment  (x 1,000)31",2003,337.5
New Brunswick,"Employment  (x 1,000)32",2004,343.5
New Brunswick,"Employment  (x 1,000)33",2005,342.2
New Brunswick,"Employment  (x 1,000)34",2006,345.9
New Brunswick,"Employment  (x 1,000)35",2007,351.2
New Brunswick,"Employment  (x 1,000)36",2008,354.2
New Brunswick,"Employment  (x 1,000)37",2009,351.8
New Brunswick,"Employment  (x 1,000)38",2010,348.3
New Brunswick,"Employment  (x 1,000)39",2011,344.9
New Brunswick,"Employment  (x 1,000)40",2012,342
New Brunswick,"Employment  (x 1,000)41",2013,342
New Brunswick,"Employment  (x 1,000)42",2014,340.2
New Brunswick,"Employment  (x 1,000)43",2015,337.8
New Brunswick,"Employment  (x 1,000)44",2016,337
New Brunswick,"Employment  (x 1,000)45",2017,336.7
New Brunswick,"Employment  (x 1,000)46",2018,338.8
New Brunswick,"Unemployment  (x 1,000)5",1976,28.4
New Brunswick,"Unemployment  (x 1,000)6",1977,34.9
New Brunswick,"Unemployment  (x 1,000)7",1978,33.9
New Brunswick,"Unemployment  (x 1,000)8",1979,30.5
New Brunswick,"Unemployment  (x 1,000)9",1980,31.7
New Brunswick,"Unemployment  (x 1,000)10",1981,33.6
New Brunswick,"Unemployment  (x 1,000)11",1982,40.5
New Brunswick,"Unemployment  (x 1,000)12",1983,43.9
New Brunswick,"Unemployment  (x 1,000)13",1984,43.6
New Brunswick,"Unemployment  (x 1,000)14",1985,46.8
New Brunswick,"Unemployment  (x 1,000)15",1986,45.5
New Brunswick,"Unemployment  (x 1,000)16",1987,42.7
New Brunswick,"Unemployment  (x 1,000)17",1988,38.7
New Brunswick,"Unemployment  (x 1,000)18",1989,40.7
New Brunswick,"Unemployment  (x 1,000)19",1990,41.3
New Brunswick,"Unemployment  (x 1,000)20",1991,42.9
New Brunswick,"Unemployment  (x 1,000)21",1992,44.4
New Brunswick,"Unemployment  (x 1,000)22",1993,43.2
New Brunswick,"Unemployment  (x 1,000)23",1994,42.6
New Brunswick,"Unemployment  (x 1,000)24",1995,39.6
New Brunswick,"Unemployment  (x 1,000)25",1996,40
New Brunswick,"Unemployment  (x 1,000)26",1997,44.8
New Brunswick,"Unemployment  (x 1,000)27",1998,43.7
New Brunswick,"Unemployment  (x 1,000)28",1999,36.6
New Brunswick,"Unemployment  (x 1,000)29",2000,36.7
New Brunswick,"Unemployment  (x 1,000)30",2001,41
New Brunswick,"Unemployment  (x 1,000)31",2002,38.5
New Brunswick,"Unemployment  (x 1,000)32",2003,38.6
New Brunswick,"Unemployment  (x 1,000)33",2004,37.6
New Brunswick,"Unemployment  (x 1,000)34",2005,36.9
New Brunswick,"Unemployment  (x 1,000)35",2006,33.2
New Brunswick,"Unemployment  (x 1,000)36",2007,28.6
New Brunswick,"Unemployment  (x 1,000)37",2008,33.3
New Brunswick,"Unemployment  (x 1,000)38",2009,33.7
New Brunswick,"Unemployment  (x 1,000)39",2010,35.6
New Brunswick,"Unemployment  (x 1,000)40",2011,36.8
New Brunswick,"Unemployment  (x 1,000)41",2012,39
New Brunswick,"Unemployment  (x 1,000)42",2013,39.4
New Brunswick,"Unemployment  (x 1,000)43",2014,37.9
New Brunswick,"Unemployment  (x 1,000)44",2015,37.4
New Brunswick,"Unemployment  (x 1,000)45",2016,35.1
